Const,Your Rating,Date Rated,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
tt2442560,10,2023-08-09,Peaky Blinders,https://www.imdb.com/title/tt2442560/,tvSeries,8.8,2109,2013,"Crime, Drama",612331,2013-09-12,Unkown
tt2560140,9,2021-05-04,Shingeki no Kyojin,https://www.imdb.com/title/tt2560140/,tvSeries,9.0,24,2013,"Animation, Action, Adventure, Drama, Fantasy, Horror",444274,2013-04-07,Unkown
tt2703720,8,2021-05-04,Yahari ore no seishun rabukome wa machigatteiru.,https://www.imdb.com/title/tt2703720/,tvSeries,7.9,24,2013,"Animation, Comedy, Drama, Romance",8216,2013-04-05,Unkown
tt2709768,6,2023-08-21,The Secret Life of Pets,https://www.imdb.com/title/tt2709768/,movie,6.5,87,2016,"Animation, Adventure, Comedy, Family",212379,2016-06-16,Chris Renaud
tt27541298,4,2023-08-21,Depp V Heard,https://www.imdb.com/title/tt27541298/,tvMiniSeries,5.0,146,2023,"Documentary, Crime",6439,2023-05-21,Unkown
tt2948356,5,2023-08-21,Zootopia,https://www.imdb.com/title/tt2948356/,movie,8.0,108,2016,"Animation, Adventure, Comedy, Crime, Family, Mystery",528939,2016-02-10,"Rich Moore, Jared Bush, Byron Howard"
tt2980516,8,2023-08-09,The Theory of Everything,https://www.imdb.com/title/tt2980516/,movie,7.7,123,2014,"Biography, Drama, Romance",471789,2014-09-07,James Marsh
tt3398540,8,2021-05-05,Haikyuu!!,https://www.imdb.com/title/tt3398540/,tvSeries,8.7,24,2014,"Animation, Comedy, Drama, Sport",32013,2014-04-05,Unkown
tt3402236,8,2021-05-05,Murder on the Orient Express,https://www.imdb.com/title/tt3402236/,movie,6.5,114,2017,"Crime, Drama, Mystery",279225,2017-11-03,Kenneth Branagh
tt3470600,5,2023-08-21,Sing,https://www.imdb.com/title/tt3470600/,movie,7.1,108,2016,"Animation, Comedy, Family, Musical",184044,2016-09-11,"Garth Jennings, Christophe Lourdelet"
tt3521164,6,2023-08-21,Moana,https://www.imdb.com/title/tt3521164/,movie,7.6,107,2016,"Animation, Adventure, Comedy, Family, Fantasy, Musical",362754,2016-11-14,"Don Hall, Ron Clements, Chris Williams, John Musker"
